<TICKER>,<PER>,<DATE>,<TIME>,<CLOSE>
RI.MICEX LC,W,20121210,000000,2347.1800000
RI.MICEX LC,W,20121217,000000,2370.4000000
RI.MICEX LC,W,20121224,000000,2367.8800000
RI.MICEX LC,W,20130107,000000,2424.8000000
RI.MICEX LC,W,20130114,000000,2459.3300000
RI.MICEX LC,W,20130121,000000,2472.4600000
RI.MICEX LC,W,20130128,000000,2472.5500000
RI.MICEX LC,W,20130204,000000,2422.1900000
RI.MICEX LC,W,20130211,000000,2401.4800000
RI.MICEX LC,W,20130218,000000,2386.1200000
RI.MICEX LC,W,20130225,000000,2351.0800000
RI.MICEX LC,W,20130304,000000,2381.7000000
RI.MICEX LC,W,20130311,000000,2386.0600000
RI.MICEX LC,W,20130318,000000,2310.3400000
RI.MICEX LC,W,20130325,000000,2314.3300000
RI.MICEX LC,W,20130401,000000,2288.0400000
RI.MICEX LC,W,20130408,000000,2250.9100000
RI.MICEX LC,W,20130415,000000,2182.4100000
RI.MICEX LC,W,20130422,000000,2227.1500000
RI.MICEX LC,W,20130429,000000,2280.3900000
RI.MICEX LC,W,20130506,000000,2311.1800000
RI.MICEX LC,W,20130513,000000,2264.3000000
